user_id,date,amount,type,category,subcategory,payment_method,description
USER_001,2025-01-01,10000000,income,Salary,gaji bulanan,debit,Pembayaran gaji bulanan
USER_001,2025-01-02,15000,expense,Food,kopi,e-wallet,Pembayaran kopi
USER_001,2025-01-03,35000,expense,Entertainment,bioskop,e-wallet,Pembayaran bioskop
USER_001,2025-01-03,15000,expense,Food,kopi,e-wallet,Pembayaran kopi
USER_001,2025-01-03,129500,expense,Bills,air,cash,Pembayaran air
USER_001,2025-01-03,5000,expense,Transport,parkir,cash,Pembayaran parkir
USER_001,2025-01-03,19000,expense,Food,warung,e-wallet,Pembayaran warung
USER_001,2025-01-04,12500,expense,Food,warung,e-wallet,Pembayaran warung
USER_001,2025-01-04,15000,expense,Food,kopi,e-wallet,Pembayaran kopi
USER_001,2025-01-05,21000,expense,Food,warung,e-wallet,Pembayaran warung
USER_001,2025-01-06,140500,expense,Entertainment,game,cash,Pembayaran game
USER_001,2025-01-07,5000,expense,Transport,parkir,cash,Pembayaran parkir
USER_001,2025-01-07,18000,expense,Food,warung,cash,Pembayaran warung
USER_001,2025-01-07,74500,expense,Others,lainnya,e-wallet,Pembayaran lainnya
USER_001,2025-01-08,34000,expense,Bills,internet,e-wallet,Pembayaran internet
USER_001,2025-01-08,13000,expense,Others,lainnya,e-wallet,Pembayaran lainnya
USER_001,2025-01-09,5000,expense,Transport,parkir,e-wallet,Pembayaran parkir
USER_001,2025-01-09,158000,expense,Bills,listrik,e-wallet,Pembayaran listrik
USER_001,2025-01-10,26500,expense,Others,lainnya,e-wallet,Pembayaran lainnya
USER_001,2025-01-11,158000,expense,Shopping,minimarket,cash,Pembayaran minimarket
USER_001,2025-01-11,13500,expense,Food,warung,debit,Pembayaran warung
USER_001,2025-01-11,5000,expense,Transport,parkir,e-wallet,Pembayaran parkir
USER_001,2025-01-12,118000,expense,Entertainment,game,e-wallet,Pembayaran game
USER_001,2025-01-12,12000,expense,Food,warung,cash,Pembayaran warung
USER_001,2025-01-13,29500,expense,Food,warung,debit,Pembayaran warung
USER_001,2025-01-14,21000,expense,Others,lainnya,e-wallet,Pembayaran lainnya
USER_001,2025-01-15,34000,expense,Others,donasi,debit,Pembayaran donasi
USER_001,2025-01-16,5000,expense,Transport,parkir,cash,Pembayaran parkir
USER_001,2025-01-16,10000,expense,Food,kopi,e-wallet,Pembayaran kopi
USER_001,2025-01-17,10000,expense,Food,kopi,e-wallet,Pembayaran kopi
USER_001,2025-01-18,10000000,income,Salary,bonus,debit,Pembayaran bonus
USER_001,2025-01-18,121000,expense,Food,fast food,cash,Pembayaran fast food
USER_001,2025-01-18,10000,expense,Transport,ojek online,e-wallet,Pembayaran ojek online
USER_001,2025-01-19,2000,expense,Transport,parkir,e-wallet,Pembayaran parkir
USER_001,2025-01-19,158000,expense,Bills,pulsa,cash,Pembayaran pulsa
USER_001,2025-01-20,16500,expense,Others,lainnya,e-wallet,Pembayaran lainnya
USER_001,2025-01-21,10000,expense,Transport,parkir,debit,Pembayaran parkir
USER_001,2025-01-21,155500,expense,Shopping,minimarket,cash,Pembayaran minimarket
USER_001,2025-01-21,164500,expense,Food,fast food,e-wallet,Pembayaran fast food
USER_001,2025-01-21,120000,expense,Entertainment,bioskop,e-wallet,Pembayaran bioskop
USER_001,2025-01-22,141500,expense,Shopping,skincare,cash,Pembayaran skincare
USER_001,2025-01-23,10000,expense,Transport,parkir,e-wallet,Pembayaran parkir
USER_001,2025-01-23,157000,expense,Food,fast food,cash,Pembayaran fast food
USER_001,2025-01-23,208000,expense,Food,restoran,debit,Pembayaran restoran
USER_001,2025-01-24,29000,expense,Others,lainnya,e-wallet,Pembayaran lainnya
USER_001,2025-01-25,10000,expense,Food,kopi,debit,Pembayaran kopi
USER_001,2025-01-25,114000,expense,Shopping,minimarket,debit,Pembayaran minimarket
USER_001,2025-01-25,24500,expense,Food,warung,e-wallet,Pembayaran warung
USER_001,2025-01-26,42000,expense,Others,lainnya,e-wallet,Pembayaran lainnya
USER_001,2025-01-27,28000,expense,Food,warung,cash,Pembayaran warung
USER_001,2025-01-27,52000,expense,Transport,bensin,debit,Pembayaran bensin
USER_001,2025-01-28,21500,expense,Transport,ojek online,cash,Pembayaran ojek online
USER_001,2025-01-29,10000,expense,Transport,parkir,debit,Pembayaran parkir
USER_001,2025-01-30,22500,expense,Others,lainnya,cash,Pembayaran lainnya
USER_001,2025-01-31,20500,expense,Transport,ojek online,e-wallet,Pembayaran ojek online
USER_001,2025-02-01,25000,expense,Food,warung,cash,Pembayaran warung
USER_001,2025-02-02,13000,expense,Food,warung,e-wallet,Pembayaran warung
USER_001,2025-02-02,20000,expense,Food,kopi,cash,Pembayaran kopi
USER_001,2025-02-02,10000000,income,Salary,gaji bulanan,debit,Pembayaran gaji bulanan
USER_001,2025-02-03,188000,expense,Entertainment,game,cash,Pembayaran game
USER_001,2025-02-03,78000,expense,Others,lainnya,cash,Pembayaran lainnya
USER_001,2025-02-03,174500,expense,Shopping,minimarket,e-wallet,Pembayaran minimarket
USER_001,2025-02-03,25000,expense,Food,warung,debit,Pembayaran warung
USER_001,2025-02-04,157500,expense,Food,restoran,cash,Pembayaran restoran
USER_001,2025-02-04,13500,expense,Transport,ojek online,e-wallet,Pembayaran ojek online
USER_001,2025-02-05,43000,expense,Others,lainnya,debit,Pembayaran lainnya
USER_001,2025-02-06,188000,expense,Food,fast food,e-wallet,Pembayaran fast food
USER_001,2025-02-07,168500,expense,Bills,air,debit,Pembayaran air
USER_001,2025-02-08,163000,expense,Entertainment,game,e-wallet,Pembayaran game
USER_001,2025-02-08,25500,expense,Food,warung,cash,Pembayaran warung
USER_001,2025-02-08,186500,expense,Food,restoran,cash,Pembayaran restoran
USER_001,2025-02-09,101000,expense,Food,fast food,e-wallet,Pembayaran fast food
USER_001,2025-02-09,22500,expense,Food,warung,e-wallet,Pembayaran warung
USER_001,2025-02-10,2000,expense,Transport,parkir,cash,Pembayaran parkir
USER_001,2025-02-11,11500,expense,Food,warung,e-wallet,Pembayaran warung
USER_001,2025-02-12,128500,expense,Bills,pulsa,cash,Pembayaran pulsa
USER_001,2025-02-13,50000,expense,Transport,bensin,debit,Pembayaran bensin
USER_001,2025-02-13,25000,expense,Transport,ojek online,e-wallet,Pembayaran ojek online
USER_001,2025-02-14,41000,expense,Others,donasi,debit,Pembayaran donasi
USER_001,2025-02-14,10000,expense,Transport,parkir,e-wallet,Pembayaran parkir
USER_001,2025-02-14,123000,expense,Bills,listrik,debit,Pembayaran listrik
USER_001,2025-02-15,2000,expense,Transport,parkir,debit,Pembayaran parkir
USER_001,2025-02-16,10000,expense,Food,kopi,cash,Pembayaran kopi
USER_001,2025-02-17,129500,expense,Food,fast food,debit,Pembayaran fast food
USER_001,2025-02-17,10000,expense,Food,kopi,e-wallet,Pembayaran kopi
USER_001,2025-02-18,17500,expense,Food,warung,debit,Pembayaran warung
USER_001,2025-02-18,158000,expense,Food,fast food,cash,Pembayaran fast food
USER_001,2025-02-18,10000,expense,Transport,parkir,debit,Pembayaran parkir
USER_001,2025-02-19,27000,expense,Food,warung,cash,Pembayaran warung
USER_001,2025-02-19,10000,expense,Food,kopi,e-wallet,Pembayaran kopi
USER_001,2025-02-19,72000,expense,Others,lainnya,cash,Pembayaran lainnya
USER_001,2025-02-20,153500,expense,Shopping,minimarket,e-wallet,Pembayaran minimarket
USER_001,2025-02-20,40000,expense,Bills,internet,debit,Pembayaran internet
USER_001,2025-02-21,16000,expense,Food,warung,cash,Pembayaran warung
USER_001,2025-02-22,24500,expense,Food,warung,e-wallet,Pembayaran warung
USER_001,2025-02-23,10000,expense,Transport,parkir,cash,Pembayaran parkir
USER_001,2025-02-23,23500,expense,Food,warung,debit,Pembayaran warung
USER_001,2025-02-24,26000,expense,Others,lainnya,e-wallet,Pembayaran lainnya
USER_001,2025-02-25,23500,expense,Food,warung,debit,Pembayaran warung
USER_001,2025-02-26,13000,expense,Food,warung,cash,Pembayaran warung
USER_001,2025-02-26,10000,expense,Transport,parkir,e-wallet,Pembayaran parkir
USER_001,2025-02-26,40000,expense,Entertainment,spotify,cash,Pembayaran spotify
USER_001,2025-02-27,28000,expense,Food,warung,e-wallet,Pembayaran warung
USER_001,2025-02-28,145500,expense,Food,fast food,debit,Pembayaran fast food
USER_001,2025-02-28,75000,expense,Entertainment,game,cash,Pembayaran game
USER_001,2025-02-28,5000,expense,Transport,parkir,cash,Pembayaran parkir
USER_001,2025-02-28,10000,expense,Food,kopi,e-wallet,Pembayaran kopi
USER_001,2025-02-28,151000,expense,Shopping,skincare,cash,Pembayaran skincare
USER_001,2025-03-01,44000,expense,Others,lainnya,e-wallet,Pembayaran lainnya
USER_001,2025-03-02,10000000,income,Salary,gaji bulanan,debit,Pembayaran gaji bulanan
USER_001,2025-03-02,113500,expense,Entertainment,game,e-wallet,Pembayaran game
USER_001,2025-03-02,5000,expense,Transport,parkir,cash,Pembayaran parkir
USER_001,2025-03-02,100000,expense,Shopping,minimarket,e-wallet,Pembayaran minimarket
USER_001,2025-03-03,20000,expense,Food,kopi,debit,Pembayaran kopi
USER_001,2025-03-04,127000,expense,Food,restoran,e-wallet,Pembayaran restoran
USER_001,2025-03-05,143000,expense,Entertainment,game,cash,Pembayaran game
USER_001,2025-03-05,557000,expense,Shopping,elektronik,cash,Pembayaran elektronik
USER_001,2025-03-06,194000,expense,Shopping,skincare,debit,Pembayaran skincare
USER_001,2025-03-06,88000,expense,Others,lainnya,e-wallet,Pembayaran lainnya
USER_001,2025-03-07,15000,expense,Food,kopi,e-wallet,Pembayaran kopi
USER_001,2025-03-07,12500,expense,Food,warung,e-wallet,Pembayaran warung
USER_001,2025-03-08,42500,expense,Bills,internet,cash,Pembayaran internet
USER_001,2025-03-09,39500,expense,Bills,internet,debit,Pembayaran internet
USER_001,2025-03-09,15000,expense,Food,kopi,cash,Pembayaran kopi
USER_001,2025-03-09,24000,expense,Food,warung,e-wallet,Pembayaran warung
USER_001,2025-03-09,190500,expense,Shopping,minimarket,debit,Pembayaran minimarket
USER_001,2025-03-10,76000,expense,Entertainment,game,debit,Pembayaran game
USER_001,2025-03-10,26000,expense,Food,warung,debit,Pembayaran warung
USER_001,2025-03-10,100000,expense,Others,lainnya,debit,Pembayaran lainnya
USER_001,2025-03-11,10000,expense,Food,kopi,cash,Pembayaran kopi
USER_001,2025-03-11,11000,expense,Food,warung,cash,Pembayaran warung
USER_001,2025-03-12,66000,expense,Others,lainnya,e-wallet,Pembayaran lainnya
USER_001,2025-03-12,15000,expense,Food,kopi,e-wallet,Pembayaran kopi
USER_001,2025-03-13,20000,expense,Food,kopi,debit,Pembayaran kopi
USER_001,2025-03-13,2000,expense,Transport,parkir,cash,Pembayaran parkir
USER_001,2025-03-13,24000,expense,Transport,ojek online,e-wallet,Pembayaran ojek online
USER_001,2025-03-14,141500,expense,Entertainment,game,cash,Pembayaran game
USER_001,2025-03-15,22500,expense,Others,lainnya,debit,Pembayaran lainnya
USER_001,2025-03-16,2000,expense,Transport,parkir,cash,Pembayaran parkir
USER_001,2025-03-17,20000,expense,Food,kopi,e-wallet,Pembayaran kopi
USER_001,2025-03-18,40000,expense,Entertainment,spotify,cash,Pembayaran spotify
USER_001,2025-03-19,187500,expense,Bills,pulsa,cash,Pembayaran pulsa
USER_001,2025-03-20,75500,expense,Bills,pulsa,cash,Pembayaran pulsa
USER_001,2025-03-20,18000,expense,Food,warung,cash,Pembayaran warung
USER_001,2025-03-21,15000,expense,Food,warung,e-wallet,Pembayaran warung
USER_001,2025-03-21,15000,expense,Food,kopi,debit,Pembayaran kopi
USER_001,2025-03-22,30000,expense,Food,warung,debit,Pembayaran warung
USER_001,2025-03-22,191500,expense,Food,fast food,debit,Pembayaran fast food
USER_001,2025-03-22,67000,expense,Transport,bensin,cash,Pembayaran bensin
USER_001,2025-03-23,23500,expense,Food,warung,debit,Pembayaran warung
USER_001,2025-03-24,37500,expense,Others,lainnya,cash,Pembayaran lainnya
USER_001,2025-03-25,10000,expense,Food,kopi,cash,Pembayaran kopi
USER_001,2025-03-26,21000,expense,Others,donasi,debit,Pembayaran donasi
USER_001,2025-03-26,97000,expense,Transport,bensin,cash,Pembayaran bensin
USER_001,2025-03-27,76500,expense,Food,fast food,cash,Pembayaran fast food
USER_001,2025-03-27,147000,expense,Bills,listrik,e-wallet,Pembayaran listrik
USER_001,2025-03-28,120000,expense,Entertainment,bioskop,cash,Pembayaran bioskop
USER_001,2025-03-28,5000,expense,Transport,parkir,debit,Pembayaran parkir
USER_001,2025-03-28,20000,expense,Food,kopi,debit,Pembayaran kopi
USER_001,2025-03-29,20500,expense,Food,warung,cash,Pembayaran warung
