user_id,date,amount,type,category,subcategory,payment_method,description,balance_after
2,2025-07-10,211095.59,expense,Food,go-food,cash,Pembayaran go-food,21120994.72
12,2025-04-07,138862.97,expense,ENTERTAINMENT,game topup,e-wallet,Pembayaran game topup,3239180.38
20,2025-07-03,8403741.89,income,Salary,gaji pokok,e-wallet,Penerimaan gaji pokok,-15951752.25
35,2025-01-26,485576.97,expense,Shopping,ELEKTRONIK,cash,Pembayaran elektronik,1268865.03
22,2025-04-22,198081.0,expense,Food,restoran,cash,,-1739966.76
38,2025-10-31,182453.97,expense,Entertainment,bioskop,e-wallet,Pembayaran bioskop,13488535.28
14,2025-12-10,484411.64,expense,Bills,,E-WALLET,Pembayaran air,12013256.91
6,2025-04-02,479441.2,expense,Bills,air,debit,Pembayaran air,1777874.39
20,2025-06-14,126165.12,expense,,minimarket,e-wallet,Pembayaran minimarket,-14715052.52
22,2025-03-08,366281.74,expense,Food,go-food,cash,Pembayaran go-food,-3282626.52
27,2025-11-12,152494.22,expense,Transport,servis,debit,Pembayaran servis,-33622824.05
37,2025-05-25,209158.17,expense,Food,minimarket,debit,,-1661550.07
15,2025-03-20,35017.13,expense,food,go-food,debit,Pembayaran go-food,-2583800.12
20,2025-10-03,153443.35,expense,Transport,servis,cash,Pembayaran servis,-14067545.49
23,2025-04-26,105653.53,expense,Food,warung,debit,Pembayaran warung,-20040109.49
27,2025-07-17,651490.92,expense,Bills,air,cash,Pembayaran air,-28631550.67
45,2025-07-09,38861.52,expense,,ojek online,debit,Pembayaran ojek online,31045667.04
1,2025-01-13,25622.69,expense,Transport,tol,cash,,645280.67
37,2025-09-10,54850.03,expense,Others,sedekah,e-wallet,Pembayaran sedekah,9200393.79
1,2025-06-21,568169.56,expense,Bills,pulsa,e-wallet,Pembayaran pulsa,37283671.69
38,2025-02-19,77304.17,expense,Food,warung,e-wallet,Pembayaran warung,3227557.94
21,2025-03-19,126647.55,expense,Transport,tol,debit,Pembayaran tol,11731893.61
47,2025-06-08,22395.95,expense,Food,restoran,cash,Pembayaran restoran,24601932.53
6,2025-03-28,34314.75,expense,Others,hadiah,e-wallet,Pembayaran hadiah,-646321.86
22,2025-06-17,173859.2,expense,Transport,ojek online,e-wallet,Pembayaran ojek online,-2857747.09
20,2025-09-17,1051007.0,expense,,air,cash,Pembayaran air,-20004132.51
44,2025-01-02,797180.91,expense,Shopping,elektronik,e-wallet,Pembayaran elektronik,3422340.21
24,2025-05-09,506320.9,expense,entertainment,,e-wallet,Pembayaran bioskop,-7532667.78
34,2025-12-01,59168.09,expense,Food,go-food,cash,,-4301296.87
47,2025-07-10,1007027.5,expense,FOOD,minimarket,e-wallet,Pembayaran minimarket,22471710.36
11,2025-07-21,654408.54,expense,,listrik,e-wallet,,19091061.38
28,2025-08-09,17112.55,expense,Transport,servis,e-wallet,Pembayaran servis,12406040.74
32,2025-07-26,397312.52,expense,Food,minimarket,cash,Pembayaran minimarket,-40033447.14
17,2025-05-19,208347.36,expense,Shopping,elektronik,e-wallet,Pembayaran elektronik,-31090078.26
21,2025-06-10,909707.58,expense,Bills,pulsa,cash,Pembayaran pulsa,4523285.21
4,2025-12-15,128601.18,expense,Transport,tol,e-wallet,Pembayaran tol,-18334040.53
37,2025-07-11,92993.81,expense,Food,go-food,E-WALLET,Pembayaran go-food,3323014.1
48,2025-07-04,199876.63,expense,Food,,debit,Pembayaran go-food,-28322857.46
17,2025-02-26,893708.89,expense,Shopping,pakaian,cash,Pembayaran pakaian,-18433619.7
39,2025-09-09,70395.19,expense,Food,warung,cash,Pembayaran warung,-6701564.19
32,2025-08-26,194668.52,expense,Transport,servis,debit,Pembayaran servis,-38381075.02
3,2025-09-02,505188.81,expense,Shopping,pakaian,debit,Pembayaran pakaian,-3469010.56
7,2025-07-09,99375.71,expense,Transport,bensin,e-wallet,,-3566068.7
49,2025-02-24,78904.53,expense,Entertainment,konser,e-wallet,Pembayaran konser,7541842.7
15,2025-09-17,66876.83,expense,Food,go-food,cash,,-11618698.0
27,2025-09-12,364243.97,expense,ENTERTAINMENT,konser,cash,Pembayaran konser,-26162915.02
10,2025-02-02,102294.78,expense,Transport,parkir,debit,Pembayaran parkir,3488893.37
15,2025-03-05,125311.82,expense,Food,go-food,debit,,360418.59
35,2025-10-28,117662.94,expense,Shopping,pakaian,debit,Pembayaran pakaian,5684182.39
29,2025-01-15,79664.71,expense,Shopping,elektronik,e-wallet,Pembayaran elektronik,2654616.16
13,2025-08-10,80927.12,expense,Entertainment,bioskop,debit,Pembayaran bioskop,-7560862.94
50,2025-10-27,7833119.45,income,Salary,bonus,e-wallet,Penerimaan bonus,-30878163.13
25,2025-08-15,31848.53,expense,Food,restoran,cash,,-7725860.95
31,2025-01-13,114953.7,expense,Food,go-food,e-wallet,Pembayaran go-food,1582252.72
1,2025-09-28,222296.82,expense,Food,kopi,e-wallet,Pembayaran kopi,35737530.8
2,2025-04-06,68026.34,expense,Food,minimarket,debit,Pembayaran minimarket,28268666.88
22,2025-01-02,1164204.97,expense,Bills,air,debit,Pembayaran air,2781678.69
10,2025-06-08,311924.33,expense,,elektronik,debit,Pembayaran elektronik,-4496753.11
41,2025-09-23,102743.96,expense,Food,kopi,debit,Pembayaran kopi,-2733941.54
26,2025-05-18,125048.72,expense,Shopping,peralatan rumah,e-wallet,Pembayaran peralatan rumah,2204693.88
24,2025-12-09,120935.63,expense,Transport,servis,debit,Pembayaran servis,-35815362.42
29,2025-03-05,175113.16,expense,Entertainment,netflix,cash,Pembayaran netflix,10418402.71
37,2025-12-07,219127.92,expense,Food,go-food,debit,,-7538427.64
39,2025-06-07,22288.65,expense,Food,minimarket,cash,Pembayaran minimarket,-1984962.12
17,2025-09-10,103610.59,expense,Food,,debit,Pembayaran minimarket,-6741935.15
3,2025-06-13,137688.68,expense,Food,restoran,cash,Pembayaran restoran,-6112406.95
44,2025-02-21,413706.59,expense,Shopping,pakaian,e-wallet,Pembayaran pakaian,-6554871.86
9,2025-02-17,112587.71,expense,ENTERTAINMENT,netflix,debit,Pembayaran netflix,166932.64
43,2025-01-23,75278.37,expense,Transport,parkir,debit,Pembayaran parkir,-346843.92
14,2025-04-04,79227.33,expense,Food,warung,E-WALLET,,-4594776.89
41,2025-01-29,10943685.59,income,,insentif,cash,Penerimaan insentif,12811994.3
28,2025-01-26,53418.82,expense,Transport,bensin,e-wallet,Pembayaran bensin,220799.11
46,2025-06-13,73757.0,expense,Food,go-food,e-wallet,Pembayaran go-food,-30669263.39
47,2025-10-15,113335.42,expense,Shopping,skincare,cash,Pembayaran skincare,24995877.18
49,2025-03-05,48675.48,expense,Transport,bensin,debit,Pembayaran bensin,6255214.26
34,2025-01-04,82515.61,expense,Transport,parkir,cash,Pembayaran parkir,4746032.84
17,2025-10-08,171070.44,expense,Food,warung,e-wallet,Pembayaran warung,-1953959.38
22,2025-10-11,917724.09,expense,shopping,skincare,cash,Pembayaran skincare,-10735347.35
9,2025-03-29,51540.6,expense,,RESTORAN,debit,Pembayaran restoran,-3426083.23
21,2025-04-11,120027.7,expense,Food,minimarket,cash,Pembayaran minimarket,21014297.69
35,2025-07-09,49175.56,expense,Entertainment,bioskop,debit,Pembayaran bioskop,4905696.16
40,2025-11-21,415533.6,expense,Entertainment,konser,cash,,-38691812.43
45,2025-11-24,4673897.5,expense,Transport,bensin,cash,Pembayaran bensin,21264962.62
31,2025-06-25,85774.13,expense,,kopi,e-wallet,Pembayaran kopi,-12850172.48
49,2025-05-06,33558.52,expense,Food,warung,debit,Pembayaran warung,21959340.08
24,2025-03-30,126705.05,expense,,SEDEKAH,e-wallet,Pembayaran sedekah,-14934507.75
29,2025-06-23,74106.27,expense,Shopping,hobi,cash,Pembayaran hobi,7960269.98
13,2025-04-15,421403.49,expense,Bills,asuransi,e-wallet,Pembayaran asuransi,-2816565.1
12,2025-07-23,4050397.0,expense,Food,minimarket,e-wallet,Pembayaran minimarket,4930374.48
14,2025-05-15,137042.34,expense,Shopping,hobi,debit,Pembayaran hobi,-2553796.34
27,2025-11-05,51690.89,expense,Food,restoran,cash,Pembayaran restoran,-31968459.77
17,2025-05-22,27310.52,expense,Others,sedekah,debit,Pembayaran sedekah,-31226206.13
37,2025-03-08,124043.82,expense,Others,,cash,Pembayaran sedekah,-3574583.13
2,2025-01-21,165986.37,expense,Transport,tol,cash,Pembayaran tol,-382226.38
26,2025-02-10,25326.59,expense,Food,restoran,debit,Pembayaran restoran,7012188.07
29,2025-08-23,669139.8,expense,Bills,internet,cash,Pembayaran internet,9344524.48
38,2025-03-13,15647.63,expense,Food,,e-wallet,Pembayaran go-food,5836850.16
6,2025-04-04,30833.74,expense,Food,go-food,debit,Pembayaran go-food,1601011.76
24,2025-01-13,90617.52,expense,Food,minimarket,e-wallet,Pembayaran minimarket,-3302004.17
36,2025-10-16,46958.77,expense,Others,lain-lain,cash,Pembayaran lain-lain,6037048.65
37,2025-11-05,159699.22,expense,SHOPPING,skincare,e-wallet,Pembayaran skincare,-1660467.3
25,2025-02-09,193377.5,expense,Food,kopi,e-wallet,Pembayaran kopi,6621531.48
32,2025-06-29,429288.62,expense,Food,kopi,e-wallet,Pembayaran kopi,-34073757.69
6,2025-06-19,45202.6,expense,Transport,SERVIS,debit,Pembayaran servis,627583.61
46,2025-09-02,186044.4,expense,Food,go-food,cash,Pembayaran go-food,-45892368.84
31,2025-09-04,64186.82,expense,Transport,ojek online,e-wallet,Pembayaran ojek online,-17728855.3
25,2025-08-25,105857.81,expense,Transport,parkir,debit,Pembayaran parkir,-9827271.9
8,2025-01-27,56902.11,expense,,parkir,e-wallet,Pembayaran parkir,-5419649.82
12,2025-01-06,78534.07,expense,TRANSPORT,ojek online,cash,Pembayaran ojek online,6861319.05
4,2025-01-10,330039.23,expense,,NETFLIX,debit,Pembayaran netflix,231945.61
44,2025-11-14,75491.09,expense,Others,BIAYA ADMIN,e-wallet,Pembayaran biaya admin,-15833713.46
36,2025-06-11,110288.87,expense,Food,RESTORAN,cash,Pembayaran restoran,3830623.72
12,2025-05-22,68165.18,expense,Food,restoran,cash,Pembayaran restoran,-2642265.75
37,2025-12-15,218820.18,expense,Food,kopi,debit,Pembayaran kopi,-10430266.74
49,2025-06-24,178046.39,expense,Entertainment,spotify,debit,Pembayaran spotify,31109307.59
49,2025-01-26,23971.17,expense,,biaya admin,cash,Pembayaran biaya admin,444248.28
14,2025-03-11,130527.03,expense,Food,go-food,debit,Pembayaran go-food,-770939.98
19,2025-08-03,77042.86,expense,Transport,ojek online,cash,Pembayaran ojek online,3439045.4
18,2025-04-09,108935.1,expense,Food,go-food,debit,Pembayaran go-food,9490505.8
19,2025-01-20,30147.38,expense,Entertainment,spotify,E-WALLET,Pembayaran spotify,1974841.88
5,2025-09-15,97083.44,expense,,OJEK ONLINE,DEBIT,Pembayaran ojek online,20708404.64
8,2025-07-14,36716.26,expense,Transport,tol,E-WALLET,Pembayaran tol,8136852.4
16,2025-05-10,41649.78,expense,FOOD,minimarket,cash,Pembayaran minimarket,16603308.35
30,2025-12-30,255422.3,expense,Shopping,pakaian,debit,,-7021884.8
13,2025-05-25,273945.56,expense,bills,asuransi,debit,Pembayaran asuransi,-6870082.72
31,2025-01-17,44405.67,expense,Food,minimarket,e-wallet,Pembayaran minimarket,1298090.56
8,2025-08-03,103715.95,expense,Food,kopi,e-wallet,Pembayaran kopi,9948942.49
22,2025-06-07,332102.02,expense,Food,restoran,cash,Pembayaran restoran,-698173.82
34,2025-02-11,48913.9,expense,Entertainment,game topup,debit,Pembayaran game topup,603190.01
26,2025-06-08,84092.39,expense,Food,,e-wallet,Pembayaran kopi,11322409.59
1,2025-12-16,34471.62,expense,Transport,tol,e-wallet,Pembayaran tol,38124665.28
32,2025-06-12,257938.62,expense,Food,warung,debit,Pembayaran warung,-28424331.66
